timestamp,request_type,position,creative_type,kv_value
2022-03-07T19:05:27.147Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T19:05:16.109Z, static.video, static_iphone_320x480, static, mFSp36
2022-03-07T19:00:22.516Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T18:51:49.045Z, static.video, static_iphone_320x480, video, mVp5
2022-03-07T18:49:15.322Z, static.video, static_iphone_320x480, static, mFSp35
2022-03-07T18:48:29.939Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T18:44:50.978Z, static.video, static_iphone_320x480, static, mFSp28
2022-03-07T18:44:43.377Z, static.video, static_iphone_320x480, video, mFSp37
2022-03-07T18:40:36.089Z, static.video, static_iphone_320x480, video, mFSp37
2022-03-07T18:38:18.305Z, static.video, interstitial, video, mFSp20
2022-03-07T18:23:14.924Z, static.video, static_iphone_320x480, static, mFSp27
2022-03-07T18:21:25.347Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T18:19:44.003Z, static.video, static_iphone_320x480, video, mVp7
2022-03-07T18:15:18.679Z, static.video, static_iphone_320x480, video, mFSp27
2022-03-07T18:15:18.520Z, static.video, static_iphone_320x480, video, mFSp35
